date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-02,84,74,94,75,93,66,104,1924,1894,0,0.16,5.43
2014-07-03,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29
2014-07-07,84,74,93,75,93,62,100,1972,1980,0.08,0.15,2.32
2014-07-08,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49
2014-07-09,85,74,95,75,93,64,102,1905,1980,0,0.14,2.39
2014-07-21,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09
2014-07-23,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-07-26,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35
2014-08-01,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1
2014-08-02,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65
2014-08-15,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74
2014-08-16,89,80,98,75,95,63,102,2004,1925,0,0.12,3.95
2014-08-19,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-26,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66
2014-08-28,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88
2014-08-29,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89
2014-09-03,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2
2014-09-05,84,75,93,73,92,55,108,1891,2000,0.03,0.14,2.07
2014-09-07,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55
2014-09-08,82,72,92,72,92,58,100,1988,1907,0,0.15,0.87
2014-09-12,82,75,89,71,91,56,101,1907,1909,0.02,0.15,2.25
2014-09-14,71,65,77,70,90,55,100,1940,2011,0,0.15,4.11
2014-09-16,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-21,82,73,91,68,88,53,100,1983,2005,0,0.13,3.07
2014-09-27,79,71,86,66,87,45,100,1942,2005,0,0.13,3.46
2014-10-06,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42
2014-10-10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5
2014-10-15,68,51,84,61,82,40,92,1978,1947,0,0.2,4.87
2014-10-16,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17
2014-10-17,73,60,86,61,82,40,93,1977,1895,0,0.2,4.31
2014-10-22,72,61,82,59,80,41,91,1898,2004,0,0.2,3.7
2014-10-26,71,56,85,58,79,39,92,1892,2010,0,0.2,2.43
2014-10-30,67,55,79,57,78,33,89,1917,2004,0,0.17,5.3
2014-10-31,67,55,79,57,78,29,88,1993,2004,0,0.16,3.84
2014-11-02,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58
2014-11-03,67,53,80,56,77,30,87,1999,1992,0,0.15,3.09
2014-11-04,72,62,82,56,76,28,89,1991,1988,0,0.16,3.2
2014-11-05,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22
2014-11-07,57,49,65,55,75,29,88,1993,2002,0,0.15,1.46
2014-11-11,60,49,71,54,74,32,87,1977,1978,0.01,0.16,1.88
2014-11-14,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4
